WB_region15,GBD_region,Country,iso3,LocID,X1.1,X1.2,X3.3,X3.1,X3.5,X3.4,X3.2,X3.6,X3.7,X3.8,X3.9,X2.8,X2.4,X2.14,X2.5,X2.2,X2.3,X2.1,X2.6,X2.7,X2.11,X2.10,X2.13,X2.12,X2.9,X4.2,X4.1,X4.3,X4.4
LIC,North Africa and Middle East,Afghanistan,AFG,4,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
UMIC,Central Europe,Albania,ALB,8,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
UMIC,North Africa and Middle East,Algeria,DZA,12,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
UMIC,Oceania,American Samoa,ASM,16,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
HIC,Western Europe,Andorra,AND,20,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
UMIC,Central Sub‐Saharan Africa,Angola,AGO,24,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
HIC,Caribbean,Antigua and Barbuda,ATG,28,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
UMIC,Southern Latin America,Argentina,ARG,32,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LMIC,Central Asia,Armenia,ARM,51,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
HIC,Australasia,Australia,AUS,36,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,Western Europe,Austria,AUT,40,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
UMIC,Central Asia,Azerbaijan,AZE,31,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
HIC,North Africa and Middle East,Bahrain,BHR,48,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LMIC,South Asia,Bangladesh,BGD,50,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
HIC,Caribbean,Barbados,BRB,52,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
UMIC,Eastern Europe,Belarus,BLR,112,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
HIC,Western Europe,Belgium,BEL,56,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
UMIC,Caribbean,Belize,BLZ,84,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LIC,Western Sub‐Saharan Africa,Benin,BEN,204,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
HIC,Caribbean,Bermuda,BMU,60,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LMIC,South Asia,Bhutan,BTN,64,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LMIC,Andean Latin America,Bolivia,BOL,68,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
UMIC,Central Europe,Bosnia and Herzegovina,BIH,70,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
UMIC,Southern Sub‐Saharan Africa,Botswana,BWA,72,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
UMIC,Tropical Latin America,Brazil,BRA,76,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
HIC,High‐income Asia Pacific,Brunei,BRN,96,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
UMIC,Central Europe,Bulgaria,BGR,100,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LIC,Western Sub‐Saharan Africa,Burkina Faso,BFA,854,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
LIC,Eastern Sub‐Saharan Africa,Burundi,BDI,108,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
LMIC,Southeast Asia,Cambodia,KHM,132,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LMIC,Western Sub‐Saharan Africa,Cameroon,CMR,116,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
HIC,High‐income North America,Canada,CAN,120,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LMIC,Western Sub‐Saharan Africa,Cape Verde,CPV,124,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LIC,Central Sub‐Saharan Africa,Central African Republic,CAF,140,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
LIC,Western Sub‐Saharan Africa,Chad,TCD,148,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
HIC,Southern Latin America,Chile,CHL,152,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
UMIC,East Asia,China,CHN,156,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
UMIC,Central Latin America,Colombia,COL,170,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LIC,Eastern Sub‐Saharan Africa,Comoros,COM,174,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
LMIC,Central Sub‐Saharan Africa,Congo,COG,178,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
UMIC,Central Latin America,Costa Rica,CRI,188,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LMIC,Western Sub‐Saharan Africa,Cote d'Ivoire,CIV,384,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
HIC,Central Europe,Croatia,HRV,191,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
UMIC,Caribbean,Cuba,CUB,192,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
HIC,Western Europe,Cyprus,CYP,196,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,Central Europe,Czech Republic,CZE,203,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LIC,Central Sub‐Saharan Africa,Democratic Republic of the Congo,COD,180,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
HIC,Western Europe,Denmark,DNK,208,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LMIC,Eastern Sub‐Saharan Africa,Djibouti,DJI,262,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
UMIC,Caribbean,Dominica,DMA,212,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
UMIC,Caribbean,Dominican Republic,DOM,214,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
UMIC,Andean Latin America,Ecuador,ECU,218,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LMIC,North Africa and Middle East,Egypt,EGY,818,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LMIC,Central Latin America,El Salvador,SLV,222,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
UMIC,Central Sub‐Saharan Africa,Equatorial Guinea,GNQ,226,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LIC,Eastern Sub‐Saharan Africa,Eritrea,ERI,232,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
HIC,Eastern Europe,Estonia,EST,233,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LIC,Eastern Sub‐Saharan Africa,Ethiopia,ETH,231,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
LMIC,Oceania,Federated States of Micronesia,FSM,583,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
UMIC,Oceania,Fiji,FJI,242,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
HIC,Western Europe,Finland,FIN,246,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,Western Europe,France,FRA,250,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
UMIC,Central Sub‐Saharan Africa,Gabon,GAB,266,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
UMIC,Central Asia,Georgia,GEO,268,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
