WB_region15,GBD_region,Country,iso3,LocID,X1.1,X1.2,X3.3,X3.1,X3.5,X3.4,X3.2,X3.6,X3.7,X3.8,X3.9,X2.8,X2.4,X2.14,X2.5,X2.2,X2.3,X2.1,X2.6,X2.7,X2.11,X2.10,X2.13,X2.12,X2.9,X4.2,X4.1,X4.3,X4.4
LMIC,South Asia,Pakistan,PAK,586,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LMIC,North Africa and Middle East,Palestine,PSE,NA,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
UMIC,Central Latin America,Panama,PAN,591,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LMIC,Oceania,Papua New Guinea,PNG,598,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
UMIC,Tropical Latin America,Paraguay,PRY,600,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
UMIC,Andean Latin America,Peru,PER,604,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LMIC,Southeast Asia,Philippines,PHL,608,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
HIC,Central Europe,Poland,POL,616,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,Western Europe,Portugal,PRT,620,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,Caribbean,Puerto Rico,PRI,630,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,North Africa and Middle East,Qatar,QAT,634,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
UMIC,Central Europe,Romania,ROU,642,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
UMIC,Eastern Europe,Russian Federation,RUS,643,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LIC,Eastern Sub‐Saharan Africa,Rwanda,RWA,646,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
UMIC,Caribbean,Saint Lucia,LCA,662,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
UMIC,Caribbean,Saint Vincent and the Grenadines,VCT,670,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LMIC,Oceania,Samoa,WSM,882,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LMIC,Western Sub‐Saharan Africa,Sao Tome and Principe,STP,678,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
HIC,North Africa and Middle East,Saudi Arabia,SAU,682,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LIC,Western Sub‐Saharan Africa,Senegal,SEN,686,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
UMIC,Central Europe,Serbia,SRB,688,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
HIC,Southeast Asia,Seychelles,SYC,690,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LIC,Western Sub‐Saharan Africa,Sierra Leone,SLE,694,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
HIC,High‐income Asia Pacific,Singapore,SGP,702,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,Central Europe,Slovakia,SVK,703,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,Central Europe,Slovenia,SVN,705,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LMIC,Oceania,Solomon Islands,SLB,90,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LIC,Eastern Sub‐Saharan Africa,Somalia,SOM,706,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
UMIC,Southern Sub‐Saharan Africa,South Africa,ZAF,710,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
HIC,High‐income Asia Pacific,South Korea,KOR,410,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LIC,Eastern Sub‐Saharan Africa,South Sudan,SSD,728,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
HIC,Western Europe,Spain,ESP,724,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LMIC,Southeast Asia,Sri Lanka,LKA,144,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LMIC,North Africa and Middle East,Sudan,SDN,729,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
UMIC,Caribbean,Suriname,SUR,740,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LMIC,Southern Sub‐Saharan Africa,Swaziland,SWZ,748,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
HIC,Western Europe,Sweden,SWE,752,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,Western Europe,Switzerland,CHE,756,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LMIC,North Africa and Middle East,Syria,SYR,760,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
HIC,East Asia,Taiwan,TWN,158,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LMIC,Central Asia,Tajikistan,TJK,762,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LIC,Eastern Sub‐Saharan Africa,Tanzania,TZA,834,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
UMIC,Southeast Asia,Thailand,THA,764,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
HIC,Caribbean,The Bahamas,BHS,44,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LIC,Western Sub‐Saharan Africa,The Gambia,GMB,270,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
LMIC,Southeast Asia,Timor-Leste,TLS,626,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LIC,Western Sub‐Saharan Africa,Togo,TGO,768,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
LMIC,Oceania,Tonga,TON,776,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
HIC,Caribbean,Trinidad and Tobago,TTO,780,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LMIC,North Africa and Middle East,Tunisia,TUN,788,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
UMIC,North Africa and Middle East,Turkey,TUR,792,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
UMIC,Central Asia,Turkmenistan,TKM,795,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LIC,Eastern Sub‐Saharan Africa,Uganda,UGA,800,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
LMIC,Eastern Europe,Ukraine,UKR,804,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
HIC,North Africa and Middle East,United Arab Emirates,ARE,784,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,Western Europe,United Kingdom,GBR,826,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,High‐income North America,United States,USA,840,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
HIC,Southern Latin America,Uruguay,URY,858,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LMIC,Central Asia,Uzbekistan,UZB,860,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LMIC,Oceania,Vanuatu,VUT,548,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
UMIC,Central Latin America,Venezuela,VEN,862,0.043,0.62,0.46,0.62,0.62,0.62,0.62,0.317,0.317,0.317,0.317,0.46,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.114,0.114,0.7,0.55,0.043,0.62,0.62,0.46,0.46
LMIC,Southeast Asia,Vietnam,VNM,704,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
HIC,Caribbean,"Virgin Islands, U.S.",VIR,850,0.103,0.93,0.63,0.93,0.93,0.93,0.93,0.736,0.736,0.736,0.736,0.63,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.224,0.224,0.9,0.7,0.103,0.93,0.93,0.63,0.63
LMIC,North Africa and Middle East,Yemen,YEM,887,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LMIC,Eastern Sub‐Saharan Africa,Zambia,ZMB,894,0.01,0.31,0.13,0.31,0.31,0.31,0.31,0.03,0.03,0.03,0.03,0.13,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.037,0.037,0.5,0.4,0.01,0.31,0.31,0.13,0.13
LIC,Southern Sub‐Saharan Africa,Zimbabwe,ZWE,716,0.01,0.04,0.06,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.037,0.037,0.03,0.25,0.01,0.04,0.04,0.06,0.06
